iata_code,name
Y2,Air Century
Y3,Driessen Svcs
Y5,Golden Myanmar
Y7,JSC Airline Taim
Y8,Yangtze River Ex
YB,Bora Jet
YC,Yamal Airlines
YD,Mauritania Air
YE,YanAir
YH,Sunspalsh LLC
YI,Air Sunshine
YJ,AMC Airlines
YL,Libyan Wings
YM,Montenegro
YN,Air Creebec
YQ,TAR Aerolineas
YS,HOP Regional
YU,Euroatlantic Air
YV,Mesa Airlines
YW,Air Nostrum
Z3,Tanana Air
Z4,ZagrosJet
Z6,Dniproavia
Z7,Amaszonas
Z9,JSC Bek Air
ZA,Skywings Asia
ZB,Monarch Airlines
ZC,FlyAfrica Zimbab
ZD,EWA Air
ZI,Aigle Azur
ZJ,Zambezi Airlines
ZK,Great Lakes
ZM,Air Manas
ZN,Naysa
ZO,Zexus Air
ZP,Amaszonas Linea
ZQ,Azman Air
ZR,Alexandria Air
ZU,Sunair Aviation
ZW,Air Wisconsin
ZX,Air Alliance
ZY,China Air Cargo
